scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
90,47.63257575757576,0.1893939393939394,0,9.9,0,1,0.01,0.02,0.02,4,2,0.0375
91,47.65625,0.1875,0,10,0,1,0.01,0.02,0.02,4,2,0.0375
92,26.5625,3.919117647058824,0,1,1,1,0.01,0.02,0.02,4,2,0.0375
93,28.693181818181824,3.911448140900196,0,1.1,1,1,0.01,0.02,0.02,4,2,0.0375
94,30.46875,3.90380859375,0,1.2,1,1,0.01,0.02,0.02,4,2,0.0375
95,31.97115384615385,3.8961988304093573,0,1.3,1,1,0.01,0.02,0.02,4,2,0.0375
96,33.25892857142857,3.888618677042802,0,1.4,1,1,0.01,0.02,0.02,4,2,0.0375
97,34.375,3.8810679611650487,0,1.5,1,1,0.01,0.02,0.02,4,2,0.0375
98,35.3515625,3.8735465116279073,0,1.6,1,1,0.01,0.02,0.02,4,2,0.0375
99,36.21323529411765,3.8660541586073505,0,1.7000000000000002,1,1,0.01,0.02,0.02,4,2,0.0375
100,36.97916666666667,3.8585907335907335,0,1.8,1,1,0.01,0.02,0.02,4,2,0.0375
101,37.66447368421053,3.851156069364162,0,1.9,1,1,0.01,0.02,0.02,4,2,0.0375
102,38.28125,3.84375,0,2,1,1,0.01,0.02,0.02,4,2,0.0375
103,38.839285714285715,3.8363723608445297,0,2.1,1,1,0.01,0.02,0.02,4,2,0.0375
104,39.346590909090914,3.829022988505747,0,2.2,1,1,0.01,0.02,0.02,4,2,0.0375
105,39.809782608695656,3.8217017208413004,0,2.3,1,1,0.01,0.02,0.02,4,2,0.0375
106,40.234375,3.814408396946565,0,2.4000000000000004,1,1,0.01,0.02,0.02,4,2,0.0375
107,40.625,3.8071428571428574,0,2.5,1,1,0.01,0.02,0.02,4,2,0.0375
108,40.98557692307693,3.7999049429657794,0,2.6,1,1,0.01,0.02,0.02,4,2,0.0375
109,41.31944444444445,3.7926944971537004,0,2.7,1,1,0.01,0.02,0.02,4,2,0.0375
110,41.629464285714285,3.7855113636363638,0,2.8,1,1,0.01,0.02,0.02,4,2,0.0375
111,41.918103448275865,3.7783553875236295,0,2.9000000000000004,1,1,0.01,0.02,0.02,4,2,0.0375
112,42.1875,3.7712264150943398,0,3,1,1,0.01,0.02,0.02,4,2,0.0375
113,42.43951612903226,3.764124293785311,0,3.1,1,1,0.01,0.02,0.02,4,2,0.0375
114,42.67578125,3.757048872180451,0,3.2,1,1,0.01,0.02,0.02,4,2,0.0375
115,42.89772727272727,3.7500000000000004,0,3.3000000000000003,1,1,0.01,0.02,0.02,4,2,0.0375
116,43.106617647058826,3.7429775280898876,0,3.4000000000000004,1,1,0.01,0.02,0.02,4,2,0.0375
117,43.30357142857143,3.7359813084112155,0,3.5,1,1,0.01,0.02,0.02,4,2,0.0375
118,43.489583333333336,3.729011194029851,0,3.6,1,1,0.01,0.02,0.02,4,2,0.0375
