scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
61,18.75,3.9527363184079602,0,1,4,1,0.01,0.02,0.02,4,2,0.05
62,34.375,3.9331683168316833,0,2,4,1,0.01,0.02,0.02,4,2,0.05
63,18.75,3.9529126213592236,0,1,4.1,1,0.01,0.02,0.02,4,2,0.05
64,34.375,3.933816425120773,0,2,4.1,1,0.01,0.02,0.02,4,2,0.05
65,18.75,3.9530805687203796,0,1,4.2,1,0.01,0.02,0.02,4,2,0.05
66,34.375,3.9344339622641518,0,2,4.2,1,0.01,0.02,0.02,4,2,0.05
67,18.75,3.9532407407407413,0,1,4.300000000000001,1,0.01,0.02,0.02,4,2,0.05
68,34.375,3.935023041474655,0,2,4.300000000000001,1,0.01,0.02,0.02,4,2,0.05
69,18.75,3.953393665158371,0,1,4.4,1,0.01,0.02,0.02,4,2,0.05
70,34.375,3.935585585585586,0,2,4.4,1,0.01,0.02,0.02,4,2,0.05
71,18.75,3.9535398230088497,0,1,4.5,1,0.01,0.02,0.02,4,2,0.05
72,34.375,3.936123348017621,0,2,4.5,1,0.01,0.02,0.02,4,2,0.05
73,18.75,3.953679653679654,0,1,4.6,1,0.01,0.02,0.02,4,2,0.05
74,34.375,3.9366379310344835,0,2,4.6,1,0.01,0.02,0.02,4,2,0.05
75,18.75,3.953813559322034,0,1,4.7,1,0.01,0.02,0.02,4,2,0.05
76,34.375,3.937130801687764,0,2,4.7,1,0.01,0.02,0.02,4,2,0.05
77,18.75,3.953941908713693,0,1,4.800000000000001,1,0.01,0.02,0.02,4,2,0.05
78,34.375,3.937603305785124,0,2,4.800000000000001,1,0.01,0.02,0.02,4,2,0.05
79,18.75,3.954065040650406,0,1,4.9,1,0.01,0.02,0.02,4,2,0.05
80,34.375,3.938056680161943,0,2,4.9,1,0.01,0.02,0.02,4,2,0.05
81,18.75,3.954183266932271,0,1,5,1,0.01,0.02,0.02,4,2,0.05
82,34.375,3.938492063492064,0,2,5,1,0.01,0.02,0.02,4,2,0.05
