scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
57,45.265151515151516,0.37878787878787873,0,6.6000000000000005,0,1,0.01,0.02,0.02,4,2,0.05
58,45.33582089552239,0.373134328358209,0,6.7,0,1,0.01,0.02,0.02,4,2,0.05
59,45.404411764705884,0.3676470588235293,0,6.800000000000001,0,1,0.01,0.02,0.02,4,2,0.05
60,45.471014492753625,0.36231884057971014,0,6.9,0,1,0.01,0.02,0.02,4,2,0.05
61,45.535714285714285,0.35714285714285715,0,7,0,1,0.01,0.02,0.02,4,2,0.05
62,45.598591549295776,0.352112676056338,0,7.1000000000000005,0,1,0.01,0.02,0.02,4,2,0.05
63,45.65972222222222,0.3472222222222222,0,7.2,0,1,0.01,0.02,0.02,4,2,0.05
64,45.71917808219178,0.3424657534246575,0,7.300000000000001,0,1,0.01,0.02,0.02,4,2,0.05
65,45.77702702702703,0.33783783783783783,0,7.4,0,1,0.01,0.02,0.02,4,2,0.05
66,45.83333333333333,0.33333333333333337,0,7.5,0,1,0.01,0.02,0.02,4,2,0.05
67,45.88815789473684,0.3289473684210526,0,7.6000000000000005,0,1,0.01,0.02,0.02,4,2,0.05
68,45.94155844155844,0.3246753246753247,0,7.7,0,1,0.01,0.02,0.02,4,2,0.05
69,45.993589743589745,0.3205128205128205,0,7.800000000000001,0,1,0.01,0.02,0.02,4,2,0.05
70,46.04430379746836,0.31645569620253167,0,7.9,0,1,0.01,0.02,0.02,4,2,0.05
71,46.09375,0.3125,0,8,0,1,0.01,0.02,0.02,4,2,0.05
72,46.141975308641975,0.3086419753086419,0,8.100000000000001,0,1,0.01,0.02,0.02,4,2,0.05
73,46.1890243902439,0.30487804878048785,0,8.2,0,1,0.01,0.02,0.02,4,2,0.05
74,46.234939759036145,0.3012048192771084,0,8.3,0,1,0.01,0.02,0.02,4,2,0.05
75,46.279761904761905,0.2976190476190476,0,8.4,0,1,0.01,0.02,0.02,4,2,0.05
76,46.32352941176471,0.2941176470588235,0,8.5,0,1,0.01,0.02,0.02,4,2,0.05
77,46.366279069767444,0.2906976744186046,0,8.600000000000001,0,1,0.01,0.02,0.02,4,2,0.05
78,46.40804597701149,0.2873563218390805,0,8.7,0,1,0.01,0.02,0.02,4,2,0.05
79,46.44886363636363,0.28409090909090906,0,8.8,0,1,0.01,0.02,0.02,4,2,0.05
80,46.48876404494382,0.28089887640449435,0,8.9,0,1,0.01,0.02,0.02,4,2,0.05
81,46.52777777777778,0.2777777777777778,0,9,0,1,0.01,0.02,0.02,4,2,0.05
82,46.565934065934066,0.2747252747252747,0,9.1,0,1,0.01,0.02,0.02,4,2,0.05
83,46.60326086956522,0.2717391304347826,0,9.200000000000001,0,1,0.01,0.02,0.02,4,2,0.05
84,46.63978494623656,0.2688172043010752,0,9.3,0,1,0.01,0.02,0.02,4,2,0.05
85,46.67553191489362,0.26595744680851063,0,9.4,0,1,0.01,0.02,0.02,4,2,0.05
86,46.71052631578947,0.2631578947368421,0,9.5,0,1,0.01,0.02,0.02,4,2,0.05
87,46.74479166666667,0.26041666666666663,0,9.6,0,1,0.01,0.02,0.02,4,2,0.05
88,46.77835051546392,0.25773195876288657,0,9.700000000000001,0,1,0.01,0.02,0.02,4,2,0.05
89,46.81122448979592,0.2551020408163265,0,9.8,0,1,0.01,0.02,0.02,4,2,0.05
90,46.84343434343434,0.25252525252525254,0,9.9,0,1,0.01,0.02,0.02,4,2,0.05
91,46.875,0.25,0,10,0,1,0.01,0.02,0.02,4,2,0.05
92,18.75,3.931372549019608,0,1,1,1,0.01,0.02,0.02,4,2,0.05
93,21.590909090909093,3.9236790606653624,0,1.1,1,1,0.01,0.02,0.02,4,2,0.05
94,23.958333333333332,3.916015625,0,1.2,1,1,0.01,0.02,0.02,4,2,0.05
95,25.961538461538463,3.9083820662768036,0,1.3,1,1,0.01,0.02,0.02,4,2,0.05
96,27.678571428571423,3.900778210116732,0,1.4,1,1,0.01,0.02,0.02,4,2,0.05
97,29.166666666666664,3.8932038834951457,0,1.5,1,1,0.01,0.02,0.02,4,2,0.05
98,30.46875,3.8856589147286824,0,1.6,1,1,0.01,0.02,0.02,4,2,0.05
99,31.61764705882353,3.8781431334622827,0,1.7000000000000002,1,1,0.01,0.02,0.02,4,2,0.05
100,32.63888888888889,3.870656370656371,0,1.8,1,1,0.01,0.02,0.02,4,2,0.05
101,33.55263157894737,3.8631984585741814,0,1.9,1,1,0.01,0.02,0.02,4,2,0.05
102,34.375,3.855769230769231,0,2,1,1,0.01,0.02,0.02,4,2,0.05
103,35.11904761904761,3.8483685220729367,0,2.1,1,1,0.01,0.02,0.02,4,2,0.05
104,35.79545454545455,3.8409961685823757,0,2.2,1,1,0.01,0.02,0.02,4,2,0.05
105,36.41304347826087,3.8336520076481837,0,2.3,1,1,0.01,0.02,0.02,4,2,0.05
106,36.97916666666667,3.8263358778625958,0,2.4000000000000004,1,1,0.01,0.02,0.02,4,2,0.05
107,37.5,3.8190476190476192,0,2.5,1,1,0.01,0.02,0.02,4,2,0.05
108,37.980769230769226,3.8117870722433462,0,2.6,1,1,0.01,0.02,0.02,4,2,0.05
109,38.42592592592593,3.8045540796963953,0,2.7,1,1,0.01,0.02,0.02,4,2,0.05
110,38.83928571428571,3.797348484848485,0,2.8,1,1,0.01,0.02,0.02,4,2,0.05
111,39.224137931034484,3.7901701323251418,0,2.9000000000000004,1,1,0.01,0.02,0.02,4,2,0.05
112,39.58333333333333,3.7830188679245285,0,3,1,1,0.01,0.02,0.02,4,2,0.05
113,39.91935483870967,3.775894538606403,0,3.1,1,1,0.01,0.02,0.02,4,2,0.05
114,40.234375,3.768796992481203,0,3.2,1,1,0.01,0.02,0.02,4,2,0.05
115,40.53030303030303,3.7617260787992497,0,3.3000000000000003,1,1,0.01,0.02,0.02,4,2,0.05
116,40.80882352941176,3.754681647940075,0,3.4000000000000004,1,1,0.01,0.02,0.02,4,2,0.05
117,41.07142857142857,3.7476635514018697,0,3.5,1,1,0.01,0.02,0.02,4,2,0.05
118,41.31944444444444,3.740671641791045,0,3.6,1,1,0.01,0.02,0.02,4,2,0.05
119,41.554054054054056,3.733705772811918,0,3.7,1,1,0.01,0.02,0.02,4,2,0.05
120,41.776315789473685,3.726765799256506,0,3.8000000000000003,1,1,0.01,0.02,0.02,4,2,0.05
121,41.98717948717949,3.7198515769944343,0,3.9000000000000004,1,1,0.01,0.02,0.02,4,2,0.05
122,42.1875,3.7129629629629632,0,4,1,1,0.01,0.02,0.02,4,2,0.05
123,42.3780487804878,3.706099815157117,0,4.1,1,1,0.01,0.02,0.02,4,2,0.05
124,42.55952380952381,3.6992619926199266,0,4.2,1,1,0.01,0.02,0.02,4,2,0.05
125,42.73255813953488,3.692449355432781,0,4.300000000000001,1,1,0.01,0.02,0.02,4,2,0.05
126,42.89772727272727,3.6856617647058827,0,4.4,1,1,0.01,0.02,0.02,4,2,0.05
127,43.05555555555556,3.6788990825688077,0,4.5,1,1,0.01,0.02,0.02,4,2,0.05
128,43.20652173913043,3.6721611721611724,0,4.6,1,1,0.01,0.02,0.02,4,2,0.05
129,43.351063829787236,3.665447897623401,0,4.7,1,1,0.01,0.02,0.02,4,2,0.05
130,43.489583333333336,3.658759124087591,0,4.800000000000001,1,1,0.01,0.02,0.02,4,2,0.05
131,43.62244897959184,3.652094717668488,0,4.9,1,1,0.01,0.02,0.02,4,2,0.05
132,43.75,3.6454545454545455,0,5,1,1,0.01,0.02,0.02,4,2,0.05
