scenario_id,E,N_s,N_w,p_w,p_s,r_s,r_w,q_s,q_w,k_s,k_w,c
58,26.5625,3.953794642857143,0,6.7,1,1,0.01,0.02,0.02,4,2,0.0375
59,26.5625,3.953885630498533,0,6.800000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
60,26.5625,3.953973988439306,0,6.9,1,1,0.01,0.02,0.02,4,2,0.0375
61,26.5625,3.9540598290598297,0,7,1,1,0.01,0.02,0.02,4,2,0.0375
62,26.5625,3.954143258426966,0,7.1000000000000005,1,1,0.01,0.02,0.02,4,2,0.0375
63,26.5625,3.954224376731302,0,7.2,1,1,0.01,0.02,0.02,4,2,0.0375
64,26.5625,3.9543032786885246,0,7.300000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
65,26.5625,3.9543800539083556,0,7.4,1,1,0.01,0.02,0.02,4,2,0.0375
66,26.5625,3.954454787234042,0,7.5,1,1,0.01,0.02,0.02,4,2,0.0375
67,26.5625,3.9545275590551183,0,7.6000000000000005,1,1,0.01,0.02,0.02,4,2,0.0375
68,26.5625,3.9545984455958543,0,7.7,1,1,0.01,0.02,0.02,4,2,0.0375
69,26.5625,3.954667519181586,0,7.800000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
70,26.5625,3.954734848484848,0,7.9,1,1,0.01,0.02,0.02,4,2,0.0375
71,26.5625,3.9548004987531167,0,8,1,1,0.01,0.02,0.02,4,2,0.0375
72,26.5625,3.9548645320197044,0,8.100000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
73,26.5625,3.9549270072992697,0,8.2,1,1,0.01,0.02,0.02,4,2,0.0375
74,26.5625,3.9549879807692303,0,8.3,1,1,0.01,0.02,0.02,4,2,0.0375
75,26.5625,3.9550475059382424,0,8.4,1,1,0.01,0.02,0.02,4,2,0.0375
76,26.5625,3.955105633802817,0,8.5,1,1,0.01,0.02,0.02,4,2,0.0375
77,26.5625,3.9551624129930394,0,8.600000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
78,26.5625,3.9552178899082566,0,8.7,1,1,0.01,0.02,0.02,4,2,0.0375
79,26.5625,3.955272108843537,0,8.8,1,1,0.01,0.02,0.02,4,2,0.0375
80,26.5625,3.955325112107624,0,8.9,1,1,0.01,0.02,0.02,4,2,0.0375
81,26.5625,3.9553769401330374,0,9,1,1,0.01,0.02,0.02,4,2,0.0375
82,26.5625,3.955427631578947,0,9.1,1,1,0.01,0.02,0.02,4,2,0.0375
83,26.5625,3.955477223427332,0,9.200000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
84,26.5625,3.9555257510729613,0,9.3,1,1,0.01,0.02,0.02,4,2,0.0375
85,26.5625,3.9555732484076427,0,9.4,1,1,0.01,0.02,0.02,4,2,0.0375
86,26.5625,3.9556197478991595,0,9.5,1,1,0.01,0.02,0.02,4,2,0.0375
87,26.5625,3.9556652806652806,0,9.6,1,1,0.01,0.02,0.02,4,2,0.0375
88,26.5625,3.9557098765432097,0,9.700000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
89,26.5625,3.9557535641547856,0,9.8,1,1,0.01,0.02,0.02,4,2,0.0375
90,26.5625,3.955796370967742,0,9.9,1,1,0.01,0.02,0.02,4,2,0.0375
91,26.5625,3.9558383233532943,0,10,1,1,0.01,0.02,0.02,4,2,0.0375
92,38.28125,3.84375,0,1,2,1,0.01,0.02,0.02,4,2,0.0375
93,38.28125,3.8539473684210526,0,1.1,2,1,0.01,0.02,0.02,4,2,0.0375
94,38.28125,3.8625000000000003,0,1.2,2,1,0.01,0.02,0.02,4,2,0.0375
95,38.28125,3.869776119402985,0,1.3,2,1,0.01,0.02,0.02,4,2,0.0375
96,38.28125,3.876041666666667,0,1.4,2,1,0.01,0.02,0.02,4,2,0.0375
97,38.28125,3.881493506493506,0,1.5,2,1,0.01,0.02,0.02,4,2,0.0375
98,38.28125,3.8862804878048784,0,1.6,2,1,0.01,0.02,0.02,4,2,0.0375
99,38.28125,3.89051724137931,0,1.7000000000000002,2,1,0.01,0.02,0.02,4,2,0.0375
100,38.28125,3.8942934782608702,0,1.8,2,1,0.01,0.02,0.02,4,2,0.0375
101,38.28125,3.8976804123711344,0,1.9,2,1,0.01,0.02,0.02,4,2,0.0375
102,38.28125,3.900735294117647,0,2,2,1,0.01,0.02,0.02,4,2,0.0375
103,38.28125,3.903504672897197,0,2.1,2,1,0.01,0.02,0.02,4,2,0.0375
104,38.28125,3.906026785714286,0,2.2,2,1,0.01,0.02,0.02,4,2,0.0375
105,38.28125,3.9083333333333337,0,2.3,2,1,0.01,0.02,0.02,4,2,0.0375
106,38.28125,3.910450819672131,0,2.4000000000000004,2,1,0.01,0.02,0.02,4,2,0.0375
107,38.28125,3.912401574803151,0,2.5,2,1,0.01,0.02,0.02,4,2,0.0375
108,38.28125,3.9142045454545458,0,2.6,2,1,0.01,0.02,0.02,4,2,0.0375
109,38.28125,3.9158759124087594,0,2.7,2,1,0.01,0.02,0.02,4,2,0.0375
110,38.28125,3.9174295774647896,0,2.8,2,1,0.01,0.02,0.02,4,2,0.0375
