time,stock_price,price,scenario_label
8.9,Weak stock,1,None
9,Strong stock,1,None
9,Weak stock,1,None
9.1,Strong stock,1,None
9.1,Weak stock,1,None
9.200000000000001,Strong stock,1,None
9.200000000000001,Weak stock,1,None
9.3,Strong stock,1,None
9.3,Weak stock,1,None
9.4,Strong stock,1,None
9.4,Weak stock,1,None
9.5,Strong stock,1,None
9.5,Weak stock,1,None
9.600000000000001,Strong stock,1,None
9.600000000000001,Weak stock,1,None
9.700000000000001,Strong stock,1,None
9.700000000000001,Weak stock,1,None
9.8,Strong stock,1,None
9.8,Weak stock,1,None
9.9,Strong stock,1,None
9.9,Weak stock,1,None
10,Strong stock,1,None
10,Weak stock,1,None
10.100000000000001,Strong stock,1,None
10.100000000000001,Weak stock,1,None
10.200000000000001,Strong stock,1,None
10.200000000000001,Weak stock,1,None
10.3,Strong stock,1,None
10.3,Weak stock,1,None
10.4,Strong stock,1,None
10.4,Weak stock,1,None
10.5,Strong stock,1,None
10.5,Weak stock,1,None
10.600000000000001,Strong stock,1,None
10.600000000000001,Weak stock,1,None
10.700000000000001,Strong stock,1,None
10.700000000000001,Weak stock,1,None
10.8,Strong stock,1,None
10.8,Weak stock,1,None
10.9,Strong stock,1,None
10.9,Weak stock,1,None
11,Strong stock,1,None
11,Weak stock,1,None
11.100000000000001,Strong stock,1,None
11.100000000000001,Weak stock,1,None
11.200000000000001,Strong stock,1,None
11.200000000000001,Weak stock,1,None
11.3,Strong stock,1,None
11.3,Weak stock,1,None
11.4,Strong stock,1,None
11.4,Weak stock,1,None
11.5,Strong stock,1,None
11.5,Weak stock,1,None
11.600000000000001,Strong stock,1,None
11.600000000000001,Weak stock,1,None
11.700000000000001,Strong stock,1,None
11.700000000000001,Weak stock,1,None
11.8,Strong stock,1,None
11.8,Weak stock,1,None
11.9,Strong stock,1,None
11.9,Weak stock,1,None
12,Strong stock,1,None
12,Weak stock,1,None
12.100000000000001,Strong stock,1,None
12.100000000000001,Weak stock,1,None
12.200000000000001,Strong stock,1,None
12.200000000000001,Weak stock,1,None
12.3,Strong stock,1,None
12.3,Weak stock,1,None
12.4,Strong stock,1,None
12.4,Weak stock,1,None
12.5,Strong stock,1,None
12.5,Weak stock,1,None
12.600000000000001,Strong stock,1,None
12.600000000000001,Weak stock,1,None
12.700000000000001,Strong stock,1,None
12.700000000000001,Weak stock,1,None
12.8,Strong stock,1,None
12.8,Weak stock,1,None
12.9,Strong stock,1,None
12.9,Weak stock,1,None
13,Strong stock,1,None
13,Weak stock,1,None
13.100000000000001,Strong stock,1,None
13.100000000000001,Weak stock,1,None
13.200000000000001,Strong stock,1,None
13.200000000000001,Weak stock,1,None
13.3,Strong stock,1,None
13.3,Weak stock,1,None
13.4,Strong stock,1,None
13.4,Weak stock,1,None
13.5,Strong stock,1,None
13.5,Weak stock,1,None
13.600000000000001,Strong stock,1,None
13.600000000000001,Weak stock,1,None
13.700000000000001,Strong stock,1,None
13.700000000000001,Weak stock,1,None
13.8,Strong stock,1,None
13.8,Weak stock,1,None
13.9,Strong stock,1,None
13.9,Weak stock,1,None
14,Strong stock,1,None
14,Weak stock,1,None
14.100000000000001,Strong stock,1,None
14.100000000000001,Weak stock,1,None
14.200000000000001,Strong stock,1,None
14.200000000000001,Weak stock,1,None
14.3,Strong stock,1,None
14.3,Weak stock,1,None
14.4,Strong stock,1,None
14.4,Weak stock,1,None
14.5,Strong stock,1,None
14.5,Weak stock,1,None
14.600000000000001,Strong stock,1,None
14.600000000000001,Weak stock,1,None
14.700000000000001,Strong stock,1,None
14.700000000000001,Weak stock,1,None
14.8,Strong stock,1,None
14.8,Weak stock,1,None
14.9,Strong stock,1,None
14.9,Weak stock,1,None
15,Strong stock,1,None
15,Weak stock,1,None
