time,stock_catch,catch_size,scenario_label
0,Strong stock,0.04,None
0,Weak stock,0.02,None
0.1,Strong stock,0.040242280989567086,None
0.1,Weak stock,0.020121131230927746,None
0.2,Strong stock,0.04048899824494208,None
0.2,Weak stock,0.020244463730441222,None
0.30000000000000004,Strong stock,0.04073992405809203,None
0.30000000000000004,Weak stock,0.020369886481520768,None
0.4,Strong stock,0.040994859192504694,None
0.4,Weak stock,0.020497302264122354,None
0.5,Strong stock,0.04125360161224193,None
0.5,Weak stock,0.020626612349482057,None
0.6000000000000001,Strong stock,0.04151599050292652,None
0.6000000000000001,Weak stock,0.020757738074130585,None
0.7000000000000001,Strong stock,0.04178187518844474,None
0.7000000000000001,Weak stock,0.02089060566684936,None
0.8,Strong stock,0.042051121028490894,None
0.8,Weak stock,0.021025149135384405,None
0.9,Strong stock,0.04232360749990907,None
0.9,Weak stock,0.021161309343222655,None
1,Strong stock,0.04259922517458715,None
1,Weak stock,0.02129903254747344,None
1.1,Strong stock,0.04287787588478997,None
1.1,Weak stock,0.021438270483902615,None
1.2000000000000002,Strong stock,0.04315947162013922,None
1.2000000000000002,Weak stock,0.021578979836146452,None
1.3,Strong stock,0.043443933458481666,None
1.3,Weak stock,0.021721121720151053,None
1.4000000000000001,Strong stock,0.043731190708939174,None
1.4000000000000001,Weak stock,0.02186466127046132,None
1.5,Strong stock,0.044021180234970744,None
1.5,Weak stock,0.022009567313334564,None
1.6,Strong stock,0.04431384574528739,None
1.6,Weak stock,0.022155812024008983,None
1.7000000000000002,Strong stock,0.04460913714881977,None
1.7000000000000002,Weak stock,0.0223033706145424,None
1.8,Strong stock,0.04490701000449188,None
1.8,Weak stock,0.02245222106720373,None
1.9000000000000001,Strong stock,0.04520742500660533,None
1.9000000000000001,Weak stock,0.022602343884923652,None
2,Strong stock,0.04551034754126942,None
2,Weak stock,0.022753721876004197,None
2.1,Strong stock,0.04581574726280882,None
2.1,Weak stock,0.022906339948285573,None
2.2,Strong stock,0.0461235977024705,None
2.2,Weak stock,0.023060184918802348,None
2.3000000000000003,Strong stock,0.04643387593209415,None
2.3000000000000003,Weak stock,0.023215245350003137,None
2.4000000000000004,Strong stock,0.04674656225221314,None
2.4000000000000004,Weak stock,0.023371511397724802,None
2.5,Strong stock,0.04706163990819883,None
2.5,Weak stock,0.023528974672690384,None
2.6,Strong stock,0.04737909483255133,None
2.6,Weak stock,0.023687628114629884,None
2.7,Strong stock,0.04769891541058503,None
2.7,Weak stock,0.023847465877709164,None
2.8000000000000003,Strong stock,0.04802109226739264,None
2.8000000000000003,Weak stock,0.024008483226253013,None
2.9000000000000004,Strong stock,0.04834561807410144,None
2.9000000000000004,Weak stock,0.02417067643981092,None
3,Strong stock,0.048672487371630435,None
3,Weak stock,0.024334042726706168,None
3.1,Strong stock,0.049001696410334,None
3.1,Weak stock,0.02449858014529364,None
3.2,Strong stock,0.04933324300407174,None
3.2,Weak stock,0.024664287532224615,None
3.3000000000000003,Strong stock,0.04966712639738333,None
3.3000000000000003,Weak stock,0.024831164437083216,None
3.4000000000000004,Strong stock,0.05000334714457223,None
3.4000000000000004,Weak stock,0.024999211062819042,None
3.5,Strong stock,0.05034190699961469,None
3.5,Weak stock,0.0251684282114537,None
3.6,Strong stock,0.050682808815911355,None
3.6,Weak stock,0.025338817234587783,None
3.7,Strong stock,0.0510260564549913,None
3.7,Weak stock,0.02551037998827831,None
3.8000000000000003,Strong stock,0.051371654703359415,None
3.8000000000000003,Weak stock,0.02568311879189611,None
3.9000000000000004,Strong stock,0.05171960919675371,None
3.9000000000000004,Weak stock,0.02585703639060828,None
4,Strong stock,0.05206992635114596,None
4,Weak stock,0.026032135921163206,None
4.1000000000000005,Strong stock,0.052422613299880336,None
4.1000000000000005,Weak stock,0.02620842088068478,None
4.2,Strong stock,0.052777677834606074,None
4.2,Weak stock,0.026385895097303585,None
4.3,Strong stock,0.05313512837086116,None
4.3,Weak stock,0.026564562713171185,None
4.4,Strong stock,0.053494973871167285,None
4.4,Weak stock,0.02674442814595598,None
4.5,Strong stock,0.053857223801491695,None
4.5,Weak stock,0.026925496067115504,None
4.6000000000000005,Strong stock,0.05422188811369012,None
4.6000000000000005,Weak stock,0.027107771393253065,None
4.7,Strong stock,0.05458897720642024,None
4.7,Weak stock,0.027291259266585394,None
4.800000000000001,Strong stock,0.05495850188666538,None
4.800000000000001,Weak stock,0.027475965035668376,None
4.9,Strong stock,0.05533047334018533,None
4.9,Weak stock,0.027661894240594148,None
5,Strong stock,0.055704903104290195,None
5,Weak stock,0.02784905259933866,None
5.1000000000000005,Strong stock,0.05608180304299271,None
5.1000000000000005,Weak stock,0.028037445995288002,None
5.2,Strong stock,0.05646118532436875,None
5.2,Weak stock,0.028227080465860418,None
5.300000000000001,Strong stock,0.056843062399918834,None
5.300000000000001,Weak stock,0.028417962192121986,None
5.4,Strong stock,0.05722744698575275,None
5.4,Weak stock,0.028610097489309035,None
5.5,Strong stock,0.05761435204543611,None
5.5,Weak stock,0.028803492798177736,None
5.6000000000000005,Strong stock,0.05800379077435084,None
5.6000000000000005,Weak stock,0.028998154677108225,None
5.7,Strong stock,0.05839577658543563,None
5.7,Weak stock,0.029194089794897078,None
5.800000000000001,Strong stock,0.05879032309618348,None
5.800000000000001,Weak stock,0.029391304924177835,None
5.9,Strong stock,0.059187444116785094,None
5.9,Weak stock,0.029589806935414256,None
6,Strong stock,0.05958715363931619,None
6,Weak stock,0.029789602791416247,None
6.1000000000000005,Strong stock,0.059989465827876044,None
