time,stock_cpue,cpue_level,scenario_label
0,Strong stock,0.08,None
0,Weak stock,0.04,None
0.1,Strong stock,0.07992359766237807,None
0.1,Weak stock,0.03996178043261258,None
0.2,Strong stock,0.07985399871037545,None
0.2,Weak stock,0.039926929553631106,None
0.30000000000000004,Strong stock,0.07979053812198791,None
0.30000000000000004,Weak stock,0.03989512109857546,None
0.4,Strong stock,0.07973263072498604,None
0.4,Weak stock,0.03986606770886278,None
0.5,Strong stock,0.07967969896947381,None
0.5,Weak stock,0.03983948548819672,None
0.6000000000000001,Strong stock,0.07963127010722293,None
0.6000000000000001,Weak stock,0.03981514176518462,None
0.7000000000000001,Strong stock,0.0795869049846188,None
0.7000000000000001,Weak stock,0.03979282023078024,None
0.8,Strong stock,0.07954620967482183,None
0.8,Weak stock,0.03977232665056747,None
0.9,Strong stock,0.07950883001790408,None
0.9,Weak stock,0.039753486219958695,None
1,Strong stock,0.07947444415198165,None
1,Weak stock,0.039736139935597374,None
1.1,Strong stock,0.07944276178686932,None
1.1,Weak stock,0.03972014424761399,None
1.2000000000000002,Strong stock,0.07941352093977307,None
1.2000000000000002,Weak stock,0.039705369476236166,None
1.3,Strong stock,0.07938648486868148,None
1.3,Weak stock,0.039691698322286896,None
1.4000000000000001,Strong stock,0.07936143954670558,None
1.4000000000000001,Weak stock,0.03967902463881947,None
1.5,Strong stock,0.07933819158401778,None
1.5,Weak stock,0.039667252419540534,None
1.6,Strong stock,0.07931656616542754,None
1.6,Weak stock,0.03965629479445412,None
1.7000000000000002,Strong stock,0.07929640519126004,None
1.7000000000000002,Weak stock,0.0396460731235728,None
1.8,Strong stock,0.07927756567097136,None
1.8,Weak stock,0.039636516212866714,None
1.9000000000000001,Strong stock,0.07925991824515592,None
1.9000000000000001,Weak stock,0.039627559592394286,None
2,Strong stock,0.07924334589799167,None
2,Weak stock,0.03961914488681594,None
2.1,Strong stock,0.07922774275544907,None
2.1,Weak stock,0.039611219227342474,None
2.2,Strong stock,0.07921301298935189,None
2.2,Weak stock,0.039603734714998305,None
2.3000000000000003,Strong stock,0.07919906986461583,None
2.3000000000000003,Weak stock,0.03959664795348853,None
2.4000000000000004,Strong stock,0.07918583486706808,None
2.4000000000000004,Weak stock,0.03958991962123199,None
2.5,Strong stock,0.07917323691524428,None
2.5,Weak stock,0.03958351408424166,None
2.6,Strong stock,0.0791612116491841,None
2.6,Weak stock,0.03957739904649008,None
2.7,Strong stock,0.07914970078800415,None
2.7,Weak stock,0.03957154523379274,None
2.8000000000000003,Strong stock,0.07913865154957705,None
2.8000000000000003,Weak stock,0.03956592610798325,None
2.9000000000000004,Strong stock,0.07912801612618181,None
2.9000000000000004,Weak stock,0.039560517608412615,None
3,Strong stock,0.07911775121061994,None
3,Weak stock,0.03955529791810682,None
3.1,Strong stock,0.07910781756785808,None
3.1,Weak stock,0.03955024725218956,None
3.2,Strong stock,0.0790981796477543,None
3.2,Weak stock,0.039545347666415334,None
3.3000000000000003,Strong stock,0.07908880523487101,None
3.3000000000000003,Weak stock,0.03954058288387296,None
3.4000000000000004,Strong stock,0.07907966513177611,None
3.4000000000000004,Weak stock,0.03953593813811151,None
3.5,Strong stock,0.07907073287259146,None
3.5,Weak stock,0.0395314000311129,None
3.6,Strong stock,0.07906198446386783,None
3.6,Weak stock,0.03952695640468999,None
3.7,Strong stock,0.07905339815015355,None
3.7,Weak stock,0.03952259622402792,None
3.8000000000000003,Strong stock,0.07904495420188166,None
3.8000000000000003,Weak stock,0.03951830947221087,None
3.9000000000000004,Strong stock,0.07903663472343307,None
3.9000000000000004,Weak stock,0.039514087054689055,None
4,Strong stock,0.07902842347944164,None
4,Weak stock,0.03950992071274158,None
4.1000000000000005,Strong stock,0.07902030573759543,None
4.1000000000000005,Weak stock,0.03950580294508169,None
4.2,Strong stock,0.07901226812371787,None
4.2,Weak stock,0.039501726935500824,None
4.3,Strong stock,0.07900429851876671,None
4.3,Weak stock,0.03949768650154974,None
4.4,Strong stock,0.07899638589881743,None
4.4,Weak stock,0.03949367601429642,None
4.5,Strong stock,0.07898852023063702,None
4.5,Weak stock,0.03948969034602159,None
4.6000000000000005,Strong stock,0.0789806924082162,None
4.6000000000000005,Weak stock,0.03948572483853063,None
4.7,Strong stock,0.07897289416100511,None
4.7,Weak stock,0.039481775257132236,None
4.800000000000001,Strong stock,0.07896511796728396,None
4.800000000000001,Weak stock,0.03947783774711924,None
4.9,Strong stock,0.07895735698384389,None
4.9,Weak stock,0.03947390879842077,None
5,Strong stock,0.07894960498183172,None
5,Weak stock,0.03946998521332509,None
5.1000000000000005,Strong stock,0.07894185628860916,None
5.1000000000000005,Weak stock,0.039466064077200096,None
5.2,Strong stock,0.07893410573512308,None
5.2,Weak stock,0.03946214273196298,None
5.300000000000001,Strong stock,0.07892634860824652,None
5.300000000000001,Weak stock,0.039458218752031766,None
5.4,Strong stock,0.07891858060761962,None
5.4,Weak stock,0.03945428992252627,None
5.5,Strong stock,0.07891079780656529,None
5.5,Weak stock,0.03945035421950754,None
5.6000000000000005,Strong stock,0.07890299661669363,None
5.6000000000000005,Weak stock,0.03944640979206476,None
5.7,Strong stock,0.07889517375584645,None
5.7,Weak stock,0.03944245494607641,None
5.800000000000001,Strong stock,0.07888732621906588,None
5.800000000000001,Weak stock,0.03943848812948898,None
5.9,Strong stock,0.07887945125230136,None
5.9,Weak stock,0.03943450791897104,None
6,Strong stock,0.07887154632859616,None
6,Weak stock,0.03943051300781393,None
6.1000000000000005,Strong stock,0.07886360912651914,None
